name,description,latitude,longitude,color
皇居,日本の東京都千代田区にある皇室方々が住む場所,35.68526886,139.7527438,darkblue
ほわいとはうす,アメリカ合衆国大統領が居住し、執務を行う官邸・公邸、訳語は「白亜館」,38.89781822,-77.03658345,white
ぴんくはうす,アルゼンチンの大統領官邸で正式名称はLa Casa Rosada,-34.60785541,-58.3703366,pink
バッキンガム宮殿,イギリスロンドンにある宮殿で1837年以来は英国王族が住んでいた,51.50149754,-0.1419114602,cadetblue
ハイステンボス宮殿,17世紀にオランダ・ハーグの森に建てられ現在はウィレム＝アレクサンダー国王がお住まいになっている宮殿,52.0937089,4.342825569,orange
アルボラーダ宮殿,ブラジルの首都ブラジリアにある大統領官邸の通称。ポルトガル語で「夜明けの宮殿」を意味する。,-15.79156376,-47.82247342,orange
首相官邸,日本の内閣の公式な事務所、居所,35.67380392,139.7423849,orange
バルバドス議事堂,ブリッジタウン旧市街中心地に建つ議事堂,13.09722795,-59.61388696,orange
国民議会（ガーナ）,ガーナの国民議会館,5.557140472,-0.1899661043,orange
